ProjectId,CityId,LocalityId,ProjectName,BuilderId,BuilderName 
2872,19,9126,Daffodils Avenue,57930,Pentagon Shreemangal Vishram Venture 
398,15,17448,Kesar Exotica,131,Kesar Group
2876,34,593,Best Tulips,1606,Best Homes 
191121,218,4967,Saraf Chaudhary Nagar CHS,6774, 
2880,8,4848,Akme Raaga,1608,AKME Projects Builders 
267297,14,455,Divyam Vidyavihar Society,34565,Divyam Enterprise
2882,27,604,Eden Imperial,48,Eden Group 
2884,34,638,Rajparis Crystal Springs,1610,Rajparis Civil Construction
2886,34,5942,Marutham Heritage,1612,Marutham Group Builders
2888,19,24688,Siddharth Heights,1614,Siddharth Creations
274955,34,6030,Chaitanya Bloomfield,21741,Chaitanya Foundations
2890,34,556,Casagrand Versailles,271,Casagrand
2892,34,576,Leela Prime The Grand,1616,Leela Prime Properties Builders
2894,269,5145,SVS Abharana Enclave,30079,SVS Constructions Habsiguda Hyderabad
260810,27,43633,Sumaty Apartment,6774, 
2896,274,1069,Rapid Orchid Woods,1620,Rapid Infratech
2898,13,19471,Kukreja Hari Kunj,1622,Kukreja Construction Builders
2900,269,8047,MAK BTR,30539,MAK Projects 
16918,19,829,Lohia Vallonia,5476,Lohia Jain Promoters And Builders
299881,19,17482,Jai Aarya Residency,77949,Jai Bhole Developers 
2904,217,5492,Aishwarya Royal Park Avenues,1626,Aishwarya Estates Developers And Builders
2906,177,2318,Arihant Classic Residency,533,Arihant Dream Builders 
